institute,avg_sentiment,comment_count,reliable
Vibrant Academy,0.2293888888888889,180,True
Bansal Classes,0.14841752767527674,542,True
Motion Education,0.14408350515463916,485,True
Resonance,0.14376601769911504,565,True
Career Point,0.1223506329113924,395,True
Allen,0.11728860971524288,597,True
